Day,Precmm
486,0.0
488,0.0
489,0.0
490,0.0
493,0.0
494,6.0
495,0.0
496,16.0
497,20.0
498,7.0
500,0.0
501,11.0
502,0.01
503,0.0
505,0.0
506,0.0
508,0.0
509,6.0
512,12.0
513,0.01
514,0.0
516,0.01
517,0.0
518,0.0
520,0.0
521,0.0
522,0.0
524,0.0
525,0.0
526,0.0
527,0.0
529,0.0
530,0.0
532,0.0
534,0.0
535,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.01
552,0.0
553,0.0
556,0.01
557,0.0
558,0.01
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,11.0
569,0.0
570,0.0
571,0.01
572,0.01
573,0.0
574,0.41000000000000003
576,0.4
577,0.0
578,0.01
586,19.0
587,0.0
589,0.0
592,0.0
594,0.0
595,0.0
596,0.01
597,0.0
601,0.3
604,0.0
605,0.0
606,0.0
608,0.0
609,0.0
611,0.0
612,2.0
614,0.0
615,0.2
616,0.0
618,0.0
619,0.0
620,0.01
622,0.0
623,0.01
628,0.0
629,0.0
630,0.0
631,1.0
632,0.0
634,0.0
635,0.0
636,1.0
637,0.0
638,0.01
639,0.01
640,1.6011417319999999
643,0.0
644,0.0
646,0.601141732
649,4.0
652,0.601141732
653,0.01
655,0.0
656,3.0
657,0.0
658,0.0
662,2.0
665,0.0
666,0.02
667,7.0
668,0.0
669,0.0
670,0.0
671,0.0
674,0.0
675,0.0
676,0.01
677,23.0
679,0.0
680,0.0
681,0.0
682,0.0
684,0.0
685,0.0
686,0.0
687,0.0
690,7.0
691,0.0
692,1.0
694,0.0
695,13.0
697,13.0
698,0.0
699,0.0
700,17.0
701,0.0
703,4.0
704,0.0
706,0.0
707,0.0
708,0.0
709,0.2
713,0.0
716,0.0
718,0.0
720,0.0
721,3.0
722,13.0
724,0.0
725,0.0
727,0.0
728,0.01
730,0.2
731,0.5
732,0.01
733,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,31.0
747,0.0
748,7.0
749,0.0
750,0.0
751,0.01
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.01
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,1.0
788,0.0
789,0.0
790,7.0
791,0.01
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,1.092935484
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,16.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.01
813,20.0
814,0.01
815,0.01
816,70.0
817,1.112935484
818,28.0
819,1.092935484
820,13.0
821,0.0
822,0.0
823,0.0
824,0.0
825,6.0
826,0.01
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.2
840,0.0
841,0.0
842,2.0
843,0.01
844,2.0
845,0.01
846,8.0
847,20.0
848,4.0
849,4.0
851,1.0
852,0.01
853,0.0
854,0.2
855,0.0
856,2.0
857,0.0
858,0.0
859,0.0
860,2.0
861,0.0
862,0.0
863,1.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,78.0
880,44.01
881,0.01
886,0.0
887,0.0
888,0.0
889,0.0
890,1.092935484
891,0.0
892,5.0
893,0.0
894,0.0
895,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,18.092935484
902,55.0
903,0.4
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
910,0.01
911,0.0
912,0.01
913,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,1.092935484
923,0.0
924,0.0
925,0.01
926,0.0
928,0.0
929,0.0
931,0.01
932,1.092935484
933,0.7
934,0.0
935,1.0
936,0.0
937,2.0
938,0.0
939,0.0
940,0.0
941,2.0
942,0.5
943,0.0
944,0.0
945,0.0
946,0.3
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.01
955,1.092935484
956,33.0
957,1.0
958,22.0
959,0.1
960,1.092935484
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.4
967,0.0
968,0.0
969,0.0
970,0.01
971,0.01
972,1.092935484
973,0.0
974,0.5
975,1.092935484
976,7.0
977,1.092935484
978,25.0
979,0.01
980,4.0
981,6.0
982,0.0
983,5.0
984,9.0
985,0.0
986,4.01
987,7.0
988,65.0
989,3.0
990,0.0
991,0.01
992,2.0
993,0.0
994,0.0
995,0.0
996,7.0
997,1.092935484
998,21.0
999,18.0
1000,0.0
1001,0.0
1002,0.8
1003,0.0
1004,3.0
1005,0.0
1006,0.0
1007,0.0
1008,6.0
1009,9.0
1010,0.01
1011,0.0
1012,0.0
1013,5.0
1014,1.2
1015,11.0
1016,0.01
1017,0.0
1018,0.0
1019,2.0
1020,3.0
1021,0.0
1022,0.31
1023,1.092935484
1024,9.0
1025,0.0
1026,0.2
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.01
1034,26.092935484
1035,3.092935484
1037,8.0
1038,0.0
1039,0.0
1040,0.4
1042,6.0
1044,3.0
1045,0.0
1046,0.21000000000000002
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,74.0
1052,14.0
1054,3.0
1055,0.01
1056,0.0
1057,11.01
1058,12.0
1059,26.5
1060,0.7
1061,0.0
1062,6.0
1063,1.1929354840000002
1064,2.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1070,0.3
1071,0.0
1072,1.092935484
1073,0.0
1074,52.0
1075,5.0
1076,23.0
1077,0.1
1078,0.01
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,1.092935484
1091,0.0
1092,0.0
1094,0.0
1095,0.0
1096,0.0
